source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
20000010,asteroid,94.079148848,24.013223134,60650231.050192021,1.648798335446e-05,,,407.120000,-8.843238498107e-03,-8.810151829094e-04,-1.031007385979e-03,15.490688464,,,,,0.071700,13.828000,5.640000
20015789,asteroid,49.081706127,22.673726855,5209784.710062303,1.919465113536e-04,,,328.000000,-1.840434769440e-03,1.788036616587e-03,9.564941830019e-04,4.741523087,,,,,0.022000,,7.090000
20000704,asteroid,196.827970894,-25.307996407,58597991.410903484,1.706543135562e-05,,,306.313000,3.675008478609e-03,-7.228047686307e-03,-2.358589908224e-03,14.621669322,,,,,0.078000,8.727000,6.330000
20000052,asteroid,64.447404279,14.562737737,72752003.425786197,1.374532594171e-05,,,303.918000,-9.908284220717e-03,3.198654817921e-03,2.156936114010e-03,18.410350393,,,,,0.057000,5.630400,6.650000
20010199,asteroid,320.882785120,-6.079396892,11702347.253497822,8.545294190455e-05,,,302.000000,2.406667734398e-03,1.809195047811e-03,2.389499121000e-03,6.655406203,,,,,0.045000,7.004000,6.550000
20000511,asteroid,151.645184660,22.341270290,73527869.525987759,1.360028525846e-05,,,270.327000,-6.901985980847e-03,-8.314068761796e-03,-8.077887431362e-04,18.761648955,,,,,0.076000,5.129700,6.410000
20000031,asteroid,250.370893165,-41.260819580,54167917.059633747,1.846111230194e-05,,,267.080000,7.236374742322e-03,-5.502707859218e-04,-3.026236655458e-03,13.614363263,,,,,0.053000,5.530000,6.810000
20000451,asteroid,258.321879279,-20.306926090,63044490.062361412,1.586181439505e-05,,,253.900000,8.715166292583e-03,-5.681422295914e-04,-2.836407671944e-03,15.899461733,,,,,0.085000,9.727000,6.780000
20000087,asteroid,91.992368780,26.962821086,57500635.555936769,1.739111212131e-05,,,253.051000,-8.788244002605e-03,-2.555402443593e-04,1.674339565271e-03,15.496485144,,,,,0.046000,5.184000,6.930000
20000003,asteroid,269.410302004,-10.627369803,64602854.672796264,1.547919213578e-05,,,246.596000,8.519829531726e-03,1.406319846750e-03,-8.018478660179e-05,14.951975475,,,,,0.214000,7.210000,5.190000
20000065,asteroid,166.964901745,6.288420607,61032994.946458071,1.638458019105e-05,,,237.260000,-1.152131998421e-03,-8.761131037889e-03,-3.192159637466e-03,16.267837114,,,,,0.070600,6.081400,6.830000
20000088,asteroid,157.381327968,4.545182482,65087684.162076458,1.536388969547e-05,,,232.000000,-2.736703207618e-03,-7.662586229119e-03,-3.686622016949e-03,15.466858251,,,,,0.067100,6.042000,7.250000
20000015,asteroid,168.616639992,-6.117428059,69093035.065514132,1.447323885905e-05,,,231.689000,-2.349543382576e-03,-7.706667433263e-03,-4.618497598578e-03,16.079594804,,,,,0.248000,6.083000,5.430000
20095626,asteroid,297.538703388,-23.174745064,11131477.698409749,8.983533247727e-05,,,230.500000,3.966966930388e-03,1.762903788916e-03,-4.701900564260e-04,7.560289862,,,,,0.053000,5.800000,7.190000
20000624,asteroid,175.437577067,-3.039977273,40036843.247607924,2.497699416049e-05,,,225.000000,-2.383240714201e-04,-5.784911986373e-03,-5.027083638495e-03,13.276286131,,,,,0.025000,6.924000,7.330000
20000016,asteroid,83.862711181,20.492038190,76018628.949038789,1.315467029365e-05,,,222.000000,-1.056101535371e-02,2.050700085333e-03,1.082405468462e-03,18.721526092,,,,,0.120300,4.196000,6.200000
20000324,asteroid,251.916833254,-33.113130768,73228946.150540948,1.365580214611e-05,,,220.691000,9.905942847524e-03,1.121358619485e-04,1.287448778489e-03,17.297054699,,,,,0.050000,29.430000,7.190000
