source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
703,moon,57.528791610,19.890784724,10584673.145184120,9.447622862639e-05,,,1577.800000,-4.403864771274e-03,1.340747781158e-03,2.609756732317e-03,9.162410814,222.800000000,3.338178e+21,,788.900000,0.270000,,
704,moon,57.522793444,19.904728483,10584133.930603351,9.448104177032e-05,,,1522.800000,-1.750490022582e-03,1.125549769823e-03,1.244584001858e-03,4.198583597,205.340000000,3.076577e+21,,761.400000,0.240000,,
705,moon,57.519269123,19.891251039,10584127.609645259,9.448109819544e-05,,,480.000000,-6.265038575066e-03,3.036632750742e-03,-1.437403298003e-03,12.308938106,4.300000000,6.442623e+19,,240.000000,0.270000,,
801,moon,1.509571242,-0.805650709,6902531.241869356,1.448743895477e-04,,,2705.200000,2.961412493786e-04,4.169295818421e-03,3.371067463776e-03,9.297588380,1428.495000000,2.140292e+22,,1352.600000,0.700000,,
901,moon,306.276806359,-23.258542680,5821856.630615157,1.717665108312e-04,,,,2.742978641361e-03,1.295318865078e-03,-5.290012914532e-04,5.331544772,106.100000000,1.589680e+21,,,,,
902,moon,306.276429712,-23.259002288,5821825.435459546,1.717674312097e-04,,,36.000000,2.653926173199e-03,1.232823036882e-03,-3.916752553018e-04,5.111929859,,,,18.000000,,,
904,moon,306.276896122,-23.258103146,5821883.554152832,1.717657164899e-04,,,12.000000,2.765000980538e-03,1.327084005883e-03,-4.516591256479e-04,5.367621853,0.000060380,9.046642e+14,,6.000000,,,
20000001,asteroid,29.988078658,3.400657198,71638084.734263256,1.395905548996e-05,,,939.400000,-5.227435103404e-03,7.172356402600e-03,4.447362344463e-03,17.188388031,,,,,0.090000,9.074170,3.350000
20020000,asteroid,134.993357457,26.861672391,4662518.952376779,2.144763399815e-04,,,900.000000,-1.908840104848e-03,-1.697327615086e-03,-3.311439726933e-05,4.423080333,,,,,0.070000,6.343600,3.790000
20000004,asteroid,306.513508142,-21.724044530,93320798.989009365,1.071572479912e-05,,,522.770000,1.024099671234e-02,6.036812963655e-03,1.065133136323e-03,20.665764833,,,,,0.422800,5.342128,3.250000
20000002,asteroid,332.978971356,1.493821957,62652576.349664077,1.596103557528e-05,,,513.000000,2.773687834939e-03,7.880061334943e-03,-1.773136848864e-03,14.786755444,,,,,0.155000,7.813221,4.110000
20000010,asteroid,93.943989185,24.024839124,60640716.549566753,1.649057031149e-05,,,407.120000,-8.844554068929e-03,-8.618104952599e-04,-1.022427504617e-03,15.487996288,,,,,0.071700,13.828000,5.640000
20015789,asteroid,49.078391364,22.672740155,5209839.329168676,1.919444990177e-04,,,328.000000,-1.840342376213e-03,1.788152355502e-03,9.565572794898e-04,4.741584585,,,,,0.022000,,7.090000
20000704,asteroid,196.709442076,-25.271138008,58594165.706163146,1.706654558433e-05,,,306.313000,3.657949221496e-03,-7.233184566147e-03,-2.367006242794e-03,14.620537797,,,,,0.078000,8.727000,6.330000
20000052,asteroid,64.269731000,14.522056191,72735023.558942169,1.374853476454e-05,,,303.918000,-9.895555964818e-03,3.225149720533e-03,2.164557993251e-03,18.406365887,,,,,0.057000,5.630400,6.650000
20010199,asteroid,320.874904279,-6.085975119,11702603.979649354,8.545106727861e-05,,,302.000000,2.407272509779e-03,1.808708203280e-03,2.389418661573e-03,6.655578608,,,,,0.045000,7.004000,6.550000
20000511,asteroid,151.452049605,22.367370708,73563724.977238074,1.359365638852e-05,,,270.327000,-6.927228974856e-03,-8.300405677802e-03,-7.959866229991e-04,18.769888996,,,,,0.076000,5.129700,6.410000
20000031,asteroid,250.255352189,-41.216860295,54174487.128073566,1.845887341095e-05,,,267.080000,7.232107061380e-03,-5.621885002484e-04,-3.037335360365e-03,13.616434007,,,,,0.053000,5.530000,6.810000
20000451,asteroid,258.188673299,-20.262390045,63042145.693207711,1.586240425360e-05,,,253.900000,8.710810062946e-03,-5.890820222293e-04,-2.844312432073e-03,15.898823006,,,,,0.085000,9.727000,6.780000
20000087,asteroid,91.862388696,26.943392871,57511272.404537149,1.738789559316e-05,,,253.051000,-8.788775822106e-03,-2.386591665671e-04,1.682935313326e-03,15.499373562,,,,,0.046000,5.184000,6.930000
20000003,asteroid,269.282243032,-10.622100250,64578644.210479587,1.548499526780e-05,,,246.596000,8.519559257514e-03,1.382796444272e-03,-8.459667020335e-05,14.945007531,,,,,0.214000,7.210000,5.190000
