source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
4472832130942575872,star,219.900850000,-60.835620000,754.810000000,1.325000000000e+00,-0.270000,4.380000,1702416.000000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,22.400000000,,2.188010e+30,1.400000,851208.000000,,528.000000,
4472832130942575873,star,219.896230000,-60.834810000,754.810000000,1.325000000000e+00,1.330000,5.710000,1201296.000000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,22.400000000,,1.804114e+30,1.560000,600648.000000,,888.000000,
4472832130942575874,star,217.428900000,-62.679400000,754.810000000,1.325000000000e+00,11.130000,15.600000,196272.000000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,22.400000000,,2.426702e+29,5.200000,98136.000000,,2004.000000,
