date,name,naif_id,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
2020-01-01,1 MERCURY BARYCENTER,1,-0.06337691365458817,-0.46084077831045206,-0.03184338234465606,0.022227817806119606,-0.0024023986294910054,-0.0022353818742290523
2020-01-02,1 MERCURY BARYCENTER,1,-0.041067253616672766,-0.4625687249008237,-0.034031159489878726,0.022380566867270014,-0.0010517212799888498,-0.0021390243503439004
2020-01-03,1 MERCURY BARYCENTER,1,-0.018637249981936825,-0.4629409508788126,-0.03611919428310015,0.022468300941357097,0.00030878884918158307,-0.0020358991847707376
2020-01-04,1 MERCURY BARYCENTER,1,0.0038476599972849072,-0.4619483604065354,-0.03810074056586035,0.022490147155998216,0.0016776419427973453,-0.001926048045893517
2020-01-05,1 MERCURY BARYCENTER,1,0.026321078923868917,-0.4595833729957737,-0.03996908792870485,0.022445058160453536,0.0030532928548661015,-0.001809501117693097
2020-01-06,1 MERCURY BARYCENTER,1,0.04871547283123294,-0.45583999189361,-0.04171755111500525,0.022331808325278278,0.004434114775060678,-0.001686278902951102
2020-01-07,1 MERCURY BARYCENTER,1,0.0709619912172108,-0.4507138996759865,-0.043339461323181255,0.02214899049191139,0.005818371081437788,-0.0015563942251089298
2020-01-08,1 MERCURY BARYCENTER,1,0.09299028419173842,-0.4442025830737729,-0.04482815963287251,0.021895013495416386,0.007204184954542034,-0.0014198544839788409
2020-01-09,1 MERCURY BARYCENTER,1,0.11472831765803487,-0.43630548949339937,-0.04617699284061255,0.021568100768363963,0.008589506302881163,-0.0012766642303333148
2020-01-10,1 MERCURY BARYCENTER,1,0.13610218780438862,-0.4270242181565097,-0.04737931206113086,0.021166290435729034,0.009972075525339115,-0.001126828135740351
2020-01-11,1 MERCURY BARYCENTER,1,0.15703593665331939,-0.4163627492684872,-0.048428474533156796,0.020687437433992817,0.011349383615103611,-0.0009703544470401641
2020-01-12,1 MERCURY BARYCENTER,1,0.1774513710206061,-0.40432771512876875,-0.049317849165273014,0.02012921833730374,0.012718628096120907,-0.0008072590296965415
2020-01-13,1 MERCURY BARYCENTER,1,0.19726788800767486,-0.39092871760638254,-0.050040826469811034,0.019489139755024074,0.014076664282674258,-0.0006375701209373561
2020-01-14,1 MERCURY BARYCENTER,1,0.21640231112115363,-0.3761786969056121,-0.05059083366276779,0.01876455138420414,0.015419951373375942,-0.0004613339320176388
2020-01-15,1 MERCURY BARYCENTER,1,0.23476874232545475,-0.3600943570117302,-0.050961355856914664,0.017952665063518603,0.016744492943826735,-0.00027862125873619366
2020-01-16,1 MERCURY BARYCENTER,1,0.252278436832325,-0.34269665359746104,-0.051145964444619774,0.01705058148776198,0.018045771502279463,-8.953527983138285e-05
2020-01-17,1 MERCURY BARYCENTER,1,0.26883970926975337,-0.3240113504290174,-0.05113835395665421,0.01605532660854372,0.019318676940083285,0.00010577925717572285
2020-01-18,1 MERCURY BARYCENTER,1,0.28435788210505464,-0.3040696503572208,-0.05093238889185539,0.014963900169157333,0.02055742896976127,0.0003071252457134367
2020-01-19,1 MERCURY BARYCENTER,1,0.29873528987874665,-0.28290890670394114,-0.050522162236045665,0.01377333929653016,0.021755494032328147,0.000514240596688682
2020-01-20,1 MERCURY BARYCENTER,1,0.31187135598455673,-0.2605734201086919,-0.04990206761928814,0.012480800589230073,0.02290549771464105,0.0007267835513869031
2020-01-21,1 MERCURY BARYCENTER,1,0.32366276243673997,-0.2371153244888748,-0.04906688728519426,0.011083664673162241,0.023999134499344064,0.0009443157153350996
2020-01-22,1 MERCURY BARYCENTER,1,0.33400373729523736,-0.21259556343746422,-0.04801189824360444,0.009579667701580382,0.02502707773532854,0.0011662826384502018
2020-01-23,1 MERCURY BARYCENTER,1,0.3427864891107756,-0.1870849548169329,-0.04673299911703211,0.0079670646806083,0.02597889413268255,0.001391991845393771
2020-01-24,1 MERCURY BARYCENTER,1,0.3499018227529663,-0.1606653361234482,-0.045226860226354366,0.006244829693439261,0.02684296891954565,0.0016205883522623313
2020-01-25,1 MERCURY BARYCENTER,1,0.35523997600488316,-0.1334307759446658,-0.043491099329290656,0.004412897911528689,0.02760645010293205,0.0018510279110230173
2020-01-26,1 MERCURY BARYCENTER,1,0.35869172086189155,-0.1054888270327603,-0.041524485042061625,0.002472453490625321,0.028255223071096916,0.0020820485240515135
2020-01-27,1 MERCURY BARYCENTER,1,0.36014977681003923,-0.0769617836873527,-0.039327169232636364,0.0004262657511492846,0.028773930013596863,0.0023121411915651285
2020-01-28,1 MERCURY BARYCENTER,1,0.3595105843902716,-0.04798788991744966,-0.03690094844268986,-0.0017209269381145379,0.029146052153440717,0.002539521415654701
2020-01-29,1 MERCURY BARYCENTER,1,0.35667648458692436,-0.01872242510135781,-0.034249552527613795,-0.003961990841067473,0.029354076240989072,0.0027621036969288255
2020-01-30,1 MERCURY BARYCENTER,1,0.35155834109313616,0.010661429073887486,-0.03137895605115727,-0.006286940177930113,0.02937976955503621,0.002977482112934207
2020-01-31,1 MERCURY BARYCENTER,1,0.34407862601457356,0.039972061645276405,-0.028297704412871324,-0.008682471398002605,0.029204588871279608,0.0031829210133765135
2020-02-01,1 MERCURY BARYCENTER,1,0.33417496262585034,0.06899939156572968,-0.025017242176972886,-0.01113152134888187,0.028810247208151504,0.003375360800187098
2020-02-02,1 MERCURY BARYCENTER,1,0.3218040792045516,0.09751548043428716,-0.021552225707792822,-0.01361289577403825,0.028179456044982606,0.003551444497805839
2020-02-03,1 MERCURY BARYCENTER,1,0.30694607452663025,0.12527597826539869,-0.01792079632402729,-0.016101028461208332,0.027296848413116206,0.003707571088676795
2020-02-04,1 MERCURY BARYCENTER,1,0.2896088290986801,0.15202257791780427,-0.014144784399945737,-0.018565943075561038,0.02615006838665157,0.0038399810393220535
